city,population,population_year,population_date,source
Nowy Wiśnicz,2717,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zwierzyniec,2717,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Daleszyce,2712,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sulmierzyce,2698,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Michałowo,2696,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radłów,2692,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Baborów,2691,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zagórów,2688,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Hel,2687,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mielno,2677,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kunów,2669,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kałuszyn,2665,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gozdnica,2661,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brzostek,2659,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czarna Woda,2634,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Niemcza,2634,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Cybinka,2633,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ryglice,2632,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Węgliniec,2618,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Knyszyn,2617,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kurów,2612,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ryn,2611,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Recz,2604,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowe Miasteczko,2598,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Drobin,2597,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kamieńsk,2590,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Węgorzyno,2574,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubraniec,2571,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Różan,2561,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jastarnia,2556,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Prószków,2548,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czerniejewo,2532,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Leśnica,2517,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zabłudów,2508,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wąsosz,2506,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stepnica,2482,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ciężkowice,2482,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kłecko,2471,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wysoka,2468,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Golczewo,2468,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czyżew,2451,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zaniemyśl,2432,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Osieczna,2427,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Miłomłyn,2421,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gorzów Śląski,2416,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pełczyce,2416,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Borek Wielkopolski,2412,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piaski,2407,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mieścisko,2397,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wąchock,2391,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Obrzycko,2390,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świątniki Górne,2390,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Izbica Kujawska,2379,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Miłakowo,2377,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koziegłowy,2371,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pasym,2370,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Złoty Stok,2370,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tolkmicko,2362,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Torzym,2361,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Cegłów,2356,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rychwał,2348,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Międzylesie,2334,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pieniężno,2333,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koprzywnica,2332,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wyszogród,2330,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kamień Krajeński,2316,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stoczek Łukowski,2306,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tychowo,2303,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Międzybórz,2286,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Siennica,2284,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dziwnów,2267,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Annopol,2266,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bardo,2256,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czchów,2243,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wiązów,2227,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Miękinia,2225,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wolbórz,2223,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Biała,2213,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Trzciel,2205,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radków,2188,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łęknica,2180,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lututów,2156,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Drawno,2128,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dobrzany,2124,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Trzcińsko-Zdrój,2123,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bisztynek,2103,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mogielnica,2102,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Prusice,2102,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Człopa,2097,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krynki,2088,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubycza Królewska,2077,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Biały Bór,2070,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowogród,2067,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żerków,2066,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piszczac,2064,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Raszków,2061,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Błażowa,2054,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bodzentyn,2053,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rejowiec,2042,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pogorzela,2036,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lipsk,2019,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kikół,2002,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dobra,1986,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Suchowola,1983,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stawiski,1977,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zalewo,1977,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubniewice,1976,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sośnicowice,1976,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kisielice,1975,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Końskowola,1966,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sieniawa,1960,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krzanowice,1960,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Frombork,1957,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świerzawa,1955,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kosów Lacki,1954,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szepietowo,1950,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Osiek,1947,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Narol,1934,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dobrzyń nad Wisłą,1924,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Błaszki,1920,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łaszczów,1916,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dukla,1915,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Grabów nad Prosną,1900,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ostrów Lubelski,1888,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sochocin,1880,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sępopol,1858,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ujazd,1839,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tykocin,1834,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jutrosin,1834,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przecław,1834,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dobre,1821,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koźminek,1820,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Otyń,1816,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ostroróg,1812,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tyszowce,1799,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Cieszanów,1774,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubomierz,1760,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szadek,1752,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tuczno,1745,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nieszawa,1742,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radzyń Chełmiński,1741,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pilica,1731,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ińsko,1728,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Drohiczyn,1724,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kamionka,1724,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Klimontów,1714,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Morawica,1711,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Urzędów,1709,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sanniki,1701,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Korfantów,1689,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brok,1688,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Goniądz,1684,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chodecz,1670,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dąbie,1668,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bieżuń,1668,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jedwabne,1667,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mikstat,1659,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krzywiń,1656,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Izbica,1647,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wielichowo,1639,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Młynary,1634,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rozprza,1627,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Moryń,1613,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowe Brzesko,1593,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chocz,1592,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zawichost,1567,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zakliczyn,1563,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lutomiersk,1554,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mordy,1552,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wleń,1548,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dolsk,1529,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Strzeleczki,1525,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Piątek,1517,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowe Miasto,1509,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łagów,1503,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Iwonicz-Zdrój,1490,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przedecz,1476,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wiskitki,1474,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubowidz,1471,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Cedynia,1438,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łopuszno,1432,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Maciejowice,1407,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gąsawa,1404,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Modliborzyce,1397,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Suchań,1389,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Baranów Sandomiers,1386,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jaraczewo,1374,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kołaczyce,1351,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rajgród,1349,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stawiszyn,1349,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Górzno,1336,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ulanów,1335,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Latowicz,1330,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Osjaków,1330,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rychtal,1326,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Siedliszcze,1313,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Frampol,1309,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubień Kujawski,1296,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gowarczów,1290,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czemierniki,1288,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowa Słupia,1265,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jeżów,1252,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szlichtyngowa,1223,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Iwaniska,1200,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jastrząb,1184,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Skalbmierz,1175,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pierzchnica,1173,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Włodowice,1160,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jawornik Polski,1143,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krynica Morska,1143,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bobrowniki,1142,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bodzanów,1126,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Osieck,1114,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Żarnów,1102,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Stopnica,1098,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Białaczów,1098,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bogoria,1092,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przyrów,1085,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Miasteczko Krajeńs,1060,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowe Warpno,1037,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pacanów,1021,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Grabów,1009,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kleszczele,999,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Odrzywół,991,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sobków,989,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Czerwińsk nad Wisł,976,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Magnuszew,973,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bircza,973,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Suraż,949,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sienno,948,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szydłów,944,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dąbrowice,940,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Parzęczew,926,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wodzisław,908,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przytyk,902,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jadów,897,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Solec nad Wisłą,894,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bolimów,889,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wąwolnica,882,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Goraj,879,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowy Korczyn,876,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wyśmierzyce,861,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Książ Wielki,841,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Brody,835,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Działoszyce,822,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Głowaczów,800,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Turobin,797,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kiernozia,790,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Józefów nad Wisłą,776,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Dubiecko,774,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gielniów,767,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Inowłódz,766,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koszyce,764,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ciepielów,706,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wiślica,446,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kazanów,396,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Opatowiec,306,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
